Name,Link,Role,Tags,Team,Timeline,Tools
Vosyn  -  AI Startup Website,,UI/UX Designer / Web Developer Intern,"Brand, Product Design, UI/UX, Web Design, Website",Website Team (5-6 Members),"February 12, 2024 → May 20, 2024","CSS, Figma, Github, HTML, JS, Wordpress"
"Artist Website ",website link → https://deshaunwalker.art,Web Developer / UI/UX Designer,"Brand, Graphic design, Human Computer Interaction, UI/UX, Web Design, Website","Demonte Walker (Me), Client","May 1, 2024 → January 30, 2025","CSS, Figma, Github, HTML, JS, Three.js"
OURS Studio  -  Production Website,,UI/UX Designer / Web Developer / Product Design,"Brand, Product Design, UI/UX, Web Design, Website","Demonte Walker (Me), Company Manager","November 6, 2023 → January 5, 2024","CSS, Figma, HTML, JS, Wordpress"
QuickER  -  Health Mobile App,prototype link → https://www.figma.com/proto/8mJG0q1QBuP3NEiucSJlK2/D%5E2K?node-id=77-8&starting-point-node-id=77%3A8&t=khiA9AAWozeGoWyK-1,UI/UX Designer / Mobile App Developer,"App Design, Human Computer Interaction, Mobile Application, UI/UX",D2k Team (3 Members),"May 2, 2023 → July 31, 2023","Figma, Flutter"
PeerPair  -  Mobile App,prototype link → (update in progress),UI/UX Designer / Mobile App Developer,"App Design, Brand, Mobile Application, UI/UX, iOS",Demonte Walker (Me),"July 10, 2023 → November 21, 2025","API, Flutter, Github, Swift"
Creator Website,,Web Developer / UI/UX Designer,"Brand, Graphic design, Human Computer Interaction, UI/UX, Web Design, Website","Demonte Walker (Me), Client","April 1, 2024 → May 3, 2024","CSS, Figma, HTML, JS, Webflow"
Clothing Brand Website," ",Web Developer / UI/UX Designer,"Brand, Human Computer Interaction, Product Design, UI/UX, Web Design, Website","Demonte Walker (Me), Client","March 11, 2024 → March 29, 2024","CSS, HTML, JS, Shopify"
Old York Times  -  Publication Website,website link → coming soon!,Web Developer / UI/UX Designer,"Brand, Human Computer Interaction, Product Design, UI/UX, Web Design, Website",Demonte Walker (Me),"June 10, 2024 → September 28, 2025","CSS, HTML, JS, Webflow"
Visualizer  -  Web App,website link → https://www.visualizerwebsite.com,Founder / Mobile Developer / Web Developer / UI/UX Designer,"App Design, Brand, Human Computer Interaction, Mobile Application, Product Design, UI/UX, Web Design, Website",Demonte Walker (Me),"October 21, 2024 → September 29, 2025","API, CSS, Figma, Github, HTML, JS, Swift, Xcode"
PackTrack  -  Flipper Zero App,github link → coming soon!,UI/UX Designer / App Developer,"App Design, Product Design, UI/UX",Developer (Me),"June 2, 2025 → November 28, 2025","API, CSS, Figma, Flipper Zero, Github, HTML, JS"
Reflex-o  -  Apple Watch App,app link → coming soon!,UI/UX Designer / App Developer,"App Design, Brand, Mobile Application, Product Design, UI/UX, WatchOS Design",Developer (Me),"May 26, 2025 → June 20, 2026","Figma, Github, JS, Swift, WatchOS, Xcode"
Fibber - Truth Detector  -  Apple Watch App,app link → coming soon!,UI/UX Designer / App Developer,"App Design, Brand, Mobile Application, Product Design, UI/UX, WatchOS Design",Developer (Me),"May 26, 2025 → June 20, 2026","Figma, Github, JS, Swift, WatchOS, Xcode"
Mood Ring  -  Apple Watch App,app link → coming soon!,UI/UX Designer / App Developer,"App Design, Brand, Mobile Application, Product Design, UI/UX, WatchOS Design",Developer (Me),"May 26, 2025 → June 20, 2026","Figma, Github, JS, Swift, WatchOS, Xcode"
Amaze Web  -  Web Design Service,website link → amazeweb.shop,Founder / UI/UX Designer / Web Developer,"Brand, Product Design, UI/UX, Web Design, Website",Designer (Me),"March 12, 2020 → September 26, 2025","CSS, Figma, Framer, Github, HTML, JS, Shopify, Webflow, Wordpress"
Safe Browsing+  -  Web App,,UI/UX Designer / Web Developer Intern,"Brand, Product Design, UI/UX, Web Design, Website",Developer (Me),"February 12, 2023 → May 20, 2023","API, CSS, Chrome, Figma, Github, HTML, JS, Web Extenstion"
Coral Gala  -  Web App,website link → https://www.coralgala.live,Founder / Web Developer / UI/UX Designer,"App Design, Brand, Human Computer Interaction, Mobile Application, Product Design, UI/UX, Web Design, Website",Demonte Walker (Me),"June 23, 2025 → October 3, 2025","API, CSS, Figma, Github, HTML, JS, Xcode"
Roulette  -  Flipper Zero App,github link → coming soon!,UI/UX Designer / App Developer,"App Design, Product Design, UI/UX",Developer (Me),"June 2, 2025 → November 28, 2025","API, CSS, Figma, Flipper Zero, Github, HTML, JS"
Battle Pass  -  Flipper Zero App,github link → coming soon!,UI/UX Designer / App Developer,"App Design, Product Design, UI/UX",Developer (Me),"June 2, 2025 → November 28, 2025","API, CSS, Figma, Flipper Zero, Github, HTML, JS"
AR Filter Games  -  AR Design,website link → amazeweb.shop,Founder / UI/UX Designer / Web Developer,"AR Design, Brand, Product Design, UI/UX",Designer (Me),"June 16, 2025 → September 26, 2025","AR, Effect House, Figma, VR"